Id,Competitor,Rating,Logo,Difference,Jobbuzzname,Website,Work Life Balance ,Salary,Company Culture,Career Growth,Industry,Founded,Founders,Turnover,Headquarters,Employees,Compititors,Description
132,Dell International Services,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/002107.gif,N,Dell India,http://www.dell.com/,3.4,3.5,3.4,3.4," Technology - IT, Telecom, Semiconductors",1984, Michael Dell, 10000+," Round Rock, Texas, US", 10001+," Hewlett Packard Development Company L.P. , Lenovo India Pvt Ltd","Dell International Services is the support and services division of Dell Inc., the large American computer hardware company, with operations in India (Bangalore, Noida, Hyderabad, Chandigarh, Pune), Europe (Bratislava, Bucharest, Dalian), Latin America (Panama City, Brazil, San Salvador), Africa (Morocco), and the Philippines, (Quezon City).Dell Global Analytics was established in the year 2005 by Jay Srinivasan. Pankaj Rai, who now heads the organization featured in Analytics India Magazine as one of the 10 most influential Analytics Leaders in India.  DGA was a Dell finalist for The Edleman Award in 2012. "
133,Directi,2.9,http://jobbuzz.timesjobs.com/ndata_images/logos/003202.gif,N,Directi Internet Solutions Pvt Ltd,http://www.directi.com,3.8,2.5,2.8,2.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 1000 - 2500,-, 501 - 1000,-,"Directi is an Internet domain name registrar company founded in 1998 by Bhavin Turakhia, who single-handedly wrote an advanced Fraud-detection algorithm, and was instrumental in the adoption of the seventy-day grace period for businesses concerned with the registry of IANA and ICANN.  Directi is the first ICANN accredited registrar in India.  The head office of Directi is in Mumbai, India, with subdivision offices in Delhi and Bangalore; Xiamen, China; Ras al Khaimah, United Arab Emirates; and in Queensland, Australia. Directi is valued at over $300 million,  and has more than 1,000 employees. The company serves over 1,000,000 customers and has more than 50,000 channel partners, which is growing at a rate of 120% per annum. Directi services include communication and collaboration apps, social networking software, instant messaging, context analysis engines, anti-spam and antivirus solutions, large-scale billing and provisioning platforms, traffic monetization solutions, online advertising solutions, DNS management products, Linux and Windows server management software, and web hosting control panels. Directi has five offices in four countries. "
134,Dion,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/002555.png,N,Dion Global Solutions,http://www.dionglobal.com,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",-, Ralph James Horne, 100 - 500," Noida, Uttar Pradesh", 1001 - 5000,-,0
135,Dlink,4.1,http://jobbuzz.timesjobs.com/ndata_images/logos/000337.gif,N,D Link India Ltd,http://www.dlink.co.in/,4.5,3.9,3.9,4.1," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 201 - 500," NETGEAR Technologies India Pvt Ltd , Jetking Infotrain Ltd , Redington (India) Ltd , Schneider Electric Pvt Ltd , Cisco Systems Inc.","D-Link Corporation (Chinese: 友訊科技) is a Taiwanese multinational networking equipment manufacturing corporation headquartered in Taipei, Taiwan. It was founded in March 1986 in Taipei as Datex Systems Inc.  It began as a network adapter vendor and has gone on to become a designer, developer, and manufacturer of networking solutions for both the consumer and business markets.In 2007, it was the leading networking company in the small to medium business (SMB) segment worldwide with 21.9% market share.  In March 2008, it became the market leader in Wi-Fi product shipments worldwide, with 33% of the total market.  In 2007, the company was featured in the ""Info Tech 100"", a listing of the world's best IT companies. It was also ranked as the 9th best IT company in the world for shareholder returns by BusinessWeek. D-Link operates an indirect channel model, selling through distributors, resellers, retailers, VARs, and Telecom Service Providers."
136,Dr Reddys,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000347.png,N,Dr. Reddys Laboratories Ltd,http://www.drreddys.com/,3.9,3.7,3.9,3.9, Healthcare,1984, G. V. Prasad, 1000 - 2500, Hyderabad, 5001 - 10000," Sun Pharmaceutical Industries Ltd. , Ranbaxy Laboratories Ltd , GlaxoSmithKline Pharmaceuticals Ltd",0
137,Ebix,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/004750.gif,N,Ebix software Asia Sez Pvt Ltd,http://www.ebix.com,3,2.5,2.5,2.5," Technology (IT, Telecom, Dot Com Etc)",1976, Robin Raina, 1 - 100," Atlanta, United States", 51 - 200,-,"EBIX, European forum for energy Business Information eXchange, is a non-profit European organisation with the avowed objectives to advance, develop and standardise the use of electronic information exchange in the European energy industry. ebIX was founded in 2003 as a European organisation continuing the previous work of Ediel Nordic Forum. The main focus is interchange of administrative data for the internal European energy markets for electricity and gas. The members of ebIX, per August 2009, are UMIX (Belgium) swissgrid (Switzerland), BDEW (Germany), Energinet.dk (Denmark), TenneT (Netherlands), Statnett (Norway) and Svenska Kraftnät (Sweden). In addition ebIX has observers from Transmission System Operators and national associations of Electricity distribution operators from several other European countries. The ebIX framework is used by all Electricity suppliers and Electricity distribution operators in the participating countries."
138,Ebay,4,http://jobbuzz.timesjobs.com/ndata_images/logos/003465.gif,N,Ebay Inc,http://www.ebay.in,3.7,4.1,4.1,4.2," Technology (IT, Telecom, Dot Com Etc)",1995, John Donahoe, 10000+, United States, 10001+," FLIPKART INDIA PVT LTD , SNAPDEAL.COM","eBay Inc. (stylized as ""ebay"") is an American multinational corporation and e-commerce company, providing consumer to consumer & business to consumer sales services via Internet. It is headquartered in San Jose, California. eBay was founded by Pierre Omidyar in 1995, and became a notable success story of the dot-com bubble. Today, it is a multibillion-dollar business with operations localized in over 30 countries. The company manages eBay.com, an online auction and shopping website in which people and businesses buy and sell a broad variety of goods and services worldwide. In addition to its auction-style sales, the website has since expanded to include ""Buy It Now"" shopping; shopping by UPC, ISBN, or other kind of SKU (via Half.com); online classified advertisements (via Kijiji or eBay Classifieds); online event ticket trading (via StubHub); online money transfers (via PayPal)  and other services.The website is free to use for buyers, but sellers are charged fees for listing items and again when those items are sold.  The company also makes additional money through its PayPal subsidiary which is used by sellers to collect payment for items sold."
139,eClerx,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000360.png,N,eClerx Services Ltd.,http://www.eclerx.com/,3.3,3.3,3.4,3.5," BPOs, KPOs, LPOs, ITES, Transcription",2000, Anjan Malik, 100 - 500, Mumbai, 5001 - 10000," FRONTLINE BUSINESS SOLUTIONS , Hinduja Global Solutions Ltd , Firstsource Solutions Ltd","eClerx is an Indian knowledge process outsourcing company based in Mumbai.  eClerx is a public limited company whose shares are listed on the Bombay Stock Exchange and National Stock Exchange of India. The company listed on the bourses on Monday, December 31, 2007. In April 2012, eClerx acquired Agilyst Inc to grow its footprint in the U.S. cable and telecom industry.  In March 31, 2015, eClerx acquired Creative Services Agency CLX Europe a global media content creation, and delivery solution company with over 40 years of experience working with many of the world’s largest retail, publishers and luxury brands, for a total purchase consideration of up to EUR 25 million to form Industry Leading Provider of Creative & Digital Services.  "
140,Education,3.2,http://jobbuzz.timesjobs.com/ndata_images/logos/000412.gif,N,Everonn Education Ltd,http://www.everonn.com/,3.4,3.1,3.1,3.1," Education, Training Institutes & Academic Research",-,-, 100 - 500,-, 1001 - 5000," Mexus Education Pvt Ltd , Edutech India Pvt Ltd , NIIT Ltd , iDiscoveri Education Pvt Ltd",0
141,EInfochips,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003583.gif,N,Einfochips Ltd,http://www.einfochips.com,2.5,2.5,3,2.5," Technology - IT, Telecom, Semiconductors",-,-, 1 - 100,-, 501 - 1000,-,0
142,EMC,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000381.gif,N,EMCO Limited,http://www.emcoindia.com/home.html,3.3,3.4,3.5,3.4, Heavy Machinery/Capital Goods & Industrial Supplies,1964, Mr. Rajesh Jain, 500 - 1000, Maharashtra, 1001 - 5000," Bajaj Electricals Ltd , KEC International Ltd , Schneider Electric Pvt Ltd , AREVA T&D India Ltd , Crompton Greaves Ltd",0
143,Emkay Global Financial Services,3.2,http://jobbuzz.timesjobs.com/ndata_images/logos/000384.gif,N,Emkay Global Financial Services Ltd,http://www.emkayglobal.com/APP_UI/index.aspx,3.4,3.1,3.2,3.2," Banking, Financial Services & Insurance",-,-, 100 - 500,-, 501 - 1000," Kotak Securities Ltd , Motilal Oswal Securities Ltd , Centrum Capital Ltd , Angel Broking Ltd , Edelweiss Financial Services Ltd",0
144,Ernst & Young,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000395.png,N,Ernst & Young Pvt. Ltd.,http://www.ey.com/,3.2,3.4,3.5,3.6, Consultancy Services,1849, Mark Weinberger, 10000+," London, United Kingdom", 10001+," KPMG India Pvt Ltd , PricewaterhouseCoopers International Ltd , Deloitte Touche Tohmatsu India Pvt Ltd","Ernst & Young (trading as EY) is a multinational professional services firm headquartered in London, United Kingdom. It is one of the ""Big Four"" audit firms   and is the third largest professional services firm in the world by aggregated revenue in 2014, after PwC and Deloitte.The organization operates as a network of member firms which are separate legal entities in individual countries. It has 212,000 employees in over 700 offices around 150 countries in the world. It provides assurance (including financial audit), tax, consulting and advisory services to companies. The firm dates back to 1849 with the founding of Harding & Pullein in England. The current firm was formed by a merger of Ernst & Whinney and Arthur Young & Co. in 1989.  It was known as Ernst & Young until 2013, when it underwent a rebranding to EY. The acronym ""EY"" was already an informal name for the firm prior to its official adoption. "
145,Ericsson India Global Services,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000394.png,N,Ericsson Pvt Ltd.,http://www.ericsson.com/,3.8,3.8,3.9,3.9," Infrastructure Development (Airports, Ports, SEZs, Roads, Rail Etc)",1876, Hans Vestberg, 10000+," Stockholm, Sweden", 10001+, Motorola Solutions India Pvt Ltd,0
