Id,Competitor,Rating,Logo,Difference,Jobbuzzname,Website,Work Life Balance ,Salary,Company Culture,Career Growth,Industry,Founded,Founders,Turnover,Headquarters,Employees,Compititors,Description
315,Novartis,4.2,http://jobbuzz.timesjobs.com/ndata_images/logos/001092.png,N,Novartis AG,http://www.novartis.com/,4.3,4.1,4.2,4.3, Healthcare,1996, Joseph Jimenez, 10000+," Basel,Switzerland", 10001+," Pfizer Inc. , Sanofi-aventis Pvt Ltd","Novartis International AG is a Swiss multinational pharmaceutical company based in Basel, Switzerland, ranking number one in sales (57.9 billion US$) among the world-wide industry in 2013.  In July 2015, Novartis had a market-cap of around $280 billion  making it the largest healthcare company by this metric.Novartis manufactures such drugs as clozapine (Clozaril), diclofenac (Voltaren), carbamazepine (Tegretol), valsartan (Diovan) and imatinib mesylate (Gleevec/Glivec). Additional agents include cyclosporin (Neoral/Sandimmun), letrozole (Femara), methylphenidate (Ritalin), terbinafine (Lamisil), and others.In 1996, Ciba-Geigy merged with Sandoz, and the pharmaceutical and agrochemical divisions of both companies formed Novartis as an independent entity. Other Ciba-Geigy and Sandoz businesses were sold, or like Ciba Specialty Chemicals, spun off as independent companies. The Sandoz brand disappeared for 3 years, but was revived in 2003 when Novartis consolidated its generic drugs businesses into a single subsidiary and named it Sandoz. Novartis divested its agrochemical and genetically modified crops business in 2000 with the spinout of Syngenta in partnership with AstraZeneca, which also divested its agrochemical business."
316,NTT DATA,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/001176.gif,N,NTT Data Vertex Software Inc.,http://www.nttdata.com/global/en/about/group,3,3.5,3.8,3.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 10000+,-, 10001+," Verve Global Services Pvt Ltd , Harbinger Knowledge Products Pvt Ltd , Opus Consulting Solutions , Vyom Labs Pvt Ltd , Nihilent Technologies Pvt. Ltd.","NTT DATA Corporation (株式会社エヌ・ティ・ティ・データ Kabushiki-kaisha Enu-tī-tī Dēta?) is a Japanese system integration company and a subsidiary of Nippon Telegraph and Telephone (NTT).Nippon Telegraph and Telephone Public Corporation, a predecessor of NTT, started Data Communications business in 1967. NTT, following its privatization in 1985, spun off the Data Communications division as NTT DATA in 1988, which has now become the largest of the IT Services companies headquartered in Japan.NTT DATA is a publicly traded company, but is about 54 percent owned by NTT. Its business areas are in national and local governments, financial, and telecommunication sectors. According to reports in 2012, Forbes Global 2000 recognizes NTT DATA as the 5th largest IT Services company. "
317,Nucleus Software Exports,3,http://jobbuzz.timesjobs.com/ndata_images/logos/001099.gif,N,Nucleus Software Exports Ltd,http://www.nucleussoftware.com/,2.6,3.2,2.9,3.2," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 1001 - 5000," Mastek Ltd , Polaris Software Lab Ltd , 3i Infotech , HCL Technologies Ltd , Tata Consultancy Services Ltd","Nucleus Software Exports Limited (NSE: NUCLEUS) is an Indian global IT products and solutions company serving the Banking and Financial Services sector for the past 27 years.  It offers wide range of IT solutions and consultancy services serving a variety of sectors of the banking industry.  It is listed on the Bombay Stock Exchange  and the National Stock Exchange of India. The company has its headquarters in Noida, Uttar Pradesh, India,  and it operates in more than 50 countries. "
318,NVIDIA,4.6,http://jobbuzz.timesjobs.com/ndata_images/logos/003923.gif,N,Nvidia Graphics Pvt Ltd,http://www.nvidia.in,4.3,5,5,4," Technology (IT, Telecom, Dot Com Etc)",-,-, 10000+,-, 5001 - 10000,-,"Coordinates: 37°22′14.62″N 121°57′49.46″WNvidia Corporation (/ɪnˈvɪdiə/ in-vid-eeə)  (commonly referred to as Nvidia, stylized as NVIDIA, nVIDIA or nVidia) is an American worldwide technology company based in Santa Clara, California. Nvidia manufactures graphics processing units (GPUs), as well as system on a chip units (SOCs) for the mobile computing market. Nvidia's primary GPU product line, labeled ""GeForce"", is in direct competition with Advanced Micro Devices' (AMD) ""Radeon"" products. Nvidia also joined the gaming industry with its handheld Shield Portable and Shield Tablet, as well as the tablet market with the Tegra Note 7.In addition to GPU manufacturing, Nvidia provides parallel processing capabilities to researchers and scientists that allow them to efficiently run high-performance applications. They are deployed in supercomputing sites around the world.   More recently, Nvidia has moved into the mobile computing market, where it produces Tegra mobile processors for smartphones and tablets, as well as vehicle navigation and entertainment systems.    In addition to AMD, its competitors include Intel and Qualcomm."
319,NXP,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/005457.gif,N,NXP Semiconductors India Pvt Ltd,http://www.nxp.com,0,0,0,0," Technology - IT, Telecom, Semiconductors",-,-, 500 - 1000,-, 501 - 1000,-,"NXP Semiconductors is a Dutch semiconductor manufacturer. It is one of the worldwide top 20 semiconductor sales leaders  and was founded in 1953, when the Philips Board started a semiconductor operation with manufacturing and development in Nijmegen, Netherlands.  Formerly known as Philips Semiconductors, the company was sold by Philips to a consortium of private equity investors in 2006. The new name, NXP, stood for the consumer's ""next experience"", according to then-CEO Frans van Houten.  On August 6, 2010, NXP completed its IPO, with shares trading on NASDAQ under the ticker symbol NXPI. On December 23, 2013, NXP Semiconductors was added to the NASDAQ 100. NXP Semiconductors provides mixed signal and standard product solutions based on its RF, analog, power management, interface, security and digital processing expertise. These semiconductors are used in a wide range of ""smart"" automotive, identification, wireless infrastructure, lighting, industrial, mobile, consumer and computing applications. Headquartered in Eindhoven, Netherlands, the company has approximately 28,000 employees working in more than 25 countries—including 3,500 employees in Research & Development and reported revenue of $5.65 billion in 2014.  NXP's shipment-based revenue in Greater China is twice as big compared to Europe, and 8,000 of the company's employees are based in China. NXP is the co-inventor of near field communication (NFC) technology along with Sony and supplies NFC chip sets which enable mobile phones to be used to pay for goods, and store and exchange data securely.  NXP manufactures chips for eGovernment applications such as electronic passports; RFID tags and labels; and transport and access management, with the chip set and contactless card for MIFARE used by many major public transit systems worldwide. "
320,Ocwen Financial,3.3,http://jobbuzz.timesjobs.com/ndata_images/logos/001108.gif,N,Ocwen Financial Corporation Ltd,http://www.ocwen.com/,3.3,3.4,3.2,3.2," Banking, Financial Services & Insurance",-,-, 100 - 500,-, 1001 - 5000,-,"Ocwen Financial Corporation is a provider of residential and commercial mortgage loan servicing, special servicing and asset management services. Ocwen is headquartered in Dunwoody, Georgia, with additional offices in West Palm Beach, Orlando, Florida, Houston, Texas, Waterloo, Iowa, St. Croix, U.S. Virgin Islands and Washington, D.C.. It also has support operations in Philippines, and India. "
321,Omnitech,3,http://jobbuzz.timesjobs.com/ndata_images/logos/001116.gif,N,Omnitech InfoSolutions Ltd,http://www.omnitechglobal.com/web/index.asp,3,3,3,3.1," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 1001 - 5000," Glodyne Technoserve Ltd , Geometric Ltd , TechProcess Solutions Ltd , Allied Digital Services Ltd , Cognizant Technology Solutions",0
322,One97 Communications,3.1,http://jobbuzz.timesjobs.com/ndata_images/logos/001283.png,N,One97 Communications Ltd,http://www.one97.com/,3.2,3.3,3,2.9," Technology (IT, Telecom, Dot Com Etc)",2000, Mr. Vijay Shekhar Sharma, 100 - 500, Noida, 501 - 1000,-,0
323,OnMobile,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/001118.png,N,OnMobile Global Ltd,http://www.onmobile.com/,3.8,3.6,3.6,3.4," Technology (IT, Telecom, Dot Com Etc)",2000,-, 2500 - 5000," Bangalore, Karnataka", 1001 - 5000," TeleDNA Communications Pvt Ltd , Inmobi Solutions Pvt Ltd , IMImobile Pvt Ltd , ACL Wireless Ltd , One97 Communications Ltd","OnMobile Global Limited is a leader    in the delivery of high quality Mobile Services, which are used by many of the best known mobile operators    to provide information, entertainment, and personalization services to their customers. The company offers content management, content aggregation and distribution, voice short codes, missed call alerts, multimedia push services, mobile search, ringtones, ringback tones, voice portals, music products, mobile radio, entertainment products like football, cricket, quizzes & gaming solutions, movies and a safety app called Help Me on Mobile. Founded in 2000, OnMobile is headquartered in Bangalore, India  and serves customers in 59 countries   on 5 continents. OnMobile also has offices in Mumbai, Delhi, Bangladesh, Kuala Lumpur, Indonesia, Singapore, Sri Lanka, Sydney, United Kingdom, Paris, Romania, Spain, Dubai, Cairo, Nairobi, Florida, Montreal, Bellevue, and California.In the past one year, OnMobile has steadily grown its global footprint with the addition of partnerships in Africa     and North America."
324,Open Solutions,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/001121.gif,N,Open Solutions Pvt Ltd,http://www.opensolutions.com/Home.aspx,2.8,2.5,2.5,2.5," Banking, Financial Services & Insurance",-,-, 1000 - 2500,-, 1001 - 5000," Fiserv India Pvt Ltd , Fidelity National Information Services, Inc. , Harland Financial Solutions Software India Pvt Ltd , Jack Henry & Associates, Inc",0
325,Opus software solutions,3.3,http://jobbuzz.timesjobs.com/ndata_images/logos/001123.png,N,Opus Consulting Solutions,http://www.opussoft.com/,2.5,3.8,3.7,3.2," Technology (IT, Telecom, Dot Com Etc)",1997, Anand Ramakrishnan, 100 - 500," Pune, Maharashtra", 501 - 1000,-,0
326,Oracle Financial Services,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000762.gif,N,Oracle Financial Services Software Ltd,http://www.oracle.com/,4,3.2,3.4,3.4," Technology (IT, Telecom, Dot Com Etc)",1990, Chaitanya M. Kamat, 500 - 1000, Mumbai, 5001 - 10000," Wipro Technologies Ltd , Infosys Technologies Ltd , Tech Mahindra Ltd",0
327,Orange Business Services,3.3,http://jobbuzz.timesjobs.com/ndata_images/logos/001677.png,Y,Orange Business Services,http://www.orange-business.com,3.4,3.2,3.3,3.3," Technology (IT, Telecom, Dot Com Etc)",2006, Thierry Bonhomme, 5000 - 10000,-, 10001+,-,"Orange Business Services, the business services arm of Orange S.A., is a global integrator of communications solutions for multinational corporations. It offers integrated communications solutions and services to global enterprises in cloud computing, unified communications and collaboration;  which manage and integrate the complexity of international communications. Orange Business Services was founded on 1 June 2006, through a rebranding and consolidation of the existing France Telecom businesses of Equant and Wanadoo.   "
328,Oracle,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000762.gif,N,Oracle Financial Services Software Ltd,http://www.oracle.com/,4,3.2,3.4,3.4," Technology (IT, Telecom, Dot Com Etc)",1990, Chaitanya M. Kamat, 500 - 1000, Mumbai, 5001 - 10000," Wipro Technologies Ltd , Infosys Technologies Ltd , Tech Mahindra Ltd","In classical antiquity, an oracle was a person or agency considered to provide wise counsel or prophetic predictions or precognition of the future, inspired by the gods. As such it is a form of divination."
329,Parametric Technology,4.5,http://jobbuzz.timesjobs.com/ndata_images/logos/004321.gif,N,Parametric Technology Corp India Pvt Ltd,http://www.ptc.com,4,5,4.7,4.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 5000 - 10000,-, 501 - 1000,-,"PTC, Inc. (formerly Parametric Technology Corporation) is a U.S.-based computer software company specializing in 2D & 3D design software, product lifecycle management (PLM), and service management solutions. Its core product lines are PTC Creo (computer-aided design), PTC Windchill (product lifecycle management), PTC Mathcad (engineering calculation), PTC Integrity (application lifecycle management), PTC Servigistics (service lifecycle management), and PTC Arbortext (technical documentation)."
330,PayPal,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/005079.gif,N,Paypal India Pvt Ltd,http://www.paypal.com,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 501 - 1000,-,"PayPal Holdings, Inc. is an American company operating a worldwide online payments system. Online money transfers serve as electronic alternatives to traditional paper methods like checks and money orders. PayPal is one of the world's largest internet payment companies.  The company operates as an acquirer, performing payment processing for online vendors, auction sites and other commercial users, for which it charges a fee.Established in 1998,  PayPal had its IPO in 2002, and became a wholly owned subsidiary of eBay later that year.   It was spun off as an independently traded company in July 2015.In 2014, PayPal moved $228 billion in 26 currencies across more than 190 nations, generating a total revenue of $7.9 billion (44% of eBay’s total profits).  The same year, eBay announced plans to spin-off PayPal into an independent company by mid-2015 and was complete on July 18, 2015. "
331,Paladion Networks,3.9,http://jobbuzz.timesjobs.com/ndata_images/logos/001138.png,N,Paladion Networks Pvt Ltd,http://www.paladion.net/,3.6,3.8,3.8,4.2," Technology (IT, Telecom, Dot Com Etc)",2000, Rajat Mohanty, 1 - 100," Bangalore, Karnataka", 501 - 1000,-,0
332,Parle Agro,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/001148.png,N,Parle Agro Pvt Ltd,http://www.parleagro.com/,3.6,3.5,3.4,3.5, Consumer Goods - FMCG,1959,-, 500 - 1000, Mumbai, 501 - 1000,-,"Parle Agro is an Indian private limited company that owns Frooti, Appy, LMN, Hippo and Bailley.Several Parle soda brands including Citra, Thums Up, Limca, Gold Spot and Maaza were sold to Coca Cola in 1993 for a reported $40 million.   At the time of sale, the Parle brands together had a 60% market share in the industry.  The brand was strong in South India.  Citra was phased out by 2000 to make way for Coke's international brand, Sprite. "
333,Parexel International,4,http://jobbuzz.timesjobs.com/ndata_images/logos/001147.gif,N,PAREXEL International Ltd,http://www.parexel.com/,4.1,4.3,3.9,3.7, Healthcare Services,-,-, 5000 - 10000,-, 5001 - 10000,-,"PAREXEL International is a multinational life sciences consulting firm. It conducts clinical trials on behalf of its pharmaceutical clients to expedite the drug approval process. It is the second largest clinical research organization in the world  and has helped develop approximately 95% of the 200 top-selling biopharmaceuticals on the market today.  The company publishes the annual PAREXEL R&D Statistical Sourcebook,  operates the PAREXEL-Academy,  and councils all of the top 50 biopharmaceutical and top 30 biotechnology companies. PAREXEL was founded in 1982 by Josef von Rickenbach  and organic chemist Anne B. Sayigh  initially to advise Japanese and German firms on how to navigate the FDA approval process.  The firm has grown organically over the years and through 40 acquisitions. Josef von Rickenbach is credited with establishing PAREXEL’s culture and practices based on the principles he experienced as a researcher at Schering-Plough in Lucerne, Switzerland. In 1990, the firm expanded internationally and established new practice areas. By 1999 it had a staff of 4,500 and 45 offices.  In the 2000s, it grew to over 18,000 employees. PAREXEL’s consulting and clinical trial work has helped establish many household drug brands and contributed to numerous successes in modern pharmacology."
334,Persistent Systems,3.3,http://jobbuzz.timesjobs.com/ndata_images/logos/000770.png,N,Persistent Systems Ltd,http://www.persistentsys.com/,3.3,3.3,3.2,3.2," Technology (IT, Telecom, Dot Com Etc)",1990, Dr. Anand Deshpande, 500 - 1000, Pune, 5001 - 10000,-,"Persistent Systems was incorporated as Persistent Systems Private Limited on May 30, 1990. It was subsequently converted into a public Limited company on September 17, 2007 with the name Persistent Systems Limited and a new certificate of incorporation was issued on September 28, 2007 from the RoC.Shares in the company were listed on the National Stock Exchange of India in March 2010.  The operations of Nagpur-based Infospectrum India Private, an outsourced private development of US company Infospectrum, were taken over by Persistent in February 2011. "
335,Pepsico,3.7,http://jobbuzz.timesjobs.com/ndata_images/logos/001231.gif,N,PepsiCo Inc.,http://www.pepsico.com/,3.5,3.8,3.8,3.7, Consumer Goods - FMCG,-, Indra K. Nooyi, 10000+, New York, 10001+," ITC Ltd , Hindustan Coca-Cola Beverages Pvt Ltd , Dabur India Ltd , Nestle Ltd","PepsiCo Inc. is an American multinational food, snack and beverage corporation headquartered in Purchase, New York, United States, with interests in the manufacturing, marketing, and distribution of grain-based snack foods, beverages, and other products. PepsiCo was formed in 1965 with the merger of the Pepsi-Cola Company and Frito-Lay, Inc. PepsiCo has since expanded from its namesake product Pepsi to a broader range of food and beverage brands, the largest of which includes an acquisition of Tropicana in 1998 and of Quaker Oats in 2001, which added the Gatorade brand to its portfolio.As of January 26, 2012, 22 of PepsiCo's brands generated retail sales of more than $1 billion apiece,  and the company's products were distributed across more than 200 countries, resulting in annual net revenues of $43.3 billion. Based on net revenue, PepsiCo is the second largest food and beverage business in the world. Within North America, PepsiCo is the largest food and beverage business by net revenue.Indra Krishnamurthy Nooyi has been the chief executive of PepsiCo since 2006. The company's beverage distribution and bottling is conducted by PepsiCo as well as by licensed bottlers in certain regions. Approximately 274,000 employees   generated $66.415 billion in revenue as of 2013. "
336,Pearson Education Services,3.1,http://jobbuzz.timesjobs.com/ndata_images/logos/004591.png,N,Pearson Education Services Pvt Ltd,http://www.edurite.com,3.5,3,3,3," Education, Training Institutes & Academic Research",-,-, 1000 - 2500," Bangalore, Karnataka", 10001+,-,0
337,Pfizer,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/000772.gif,N,Pfizer Inc.,http://www.pfizer.com/home/,3.6,3.5,3.6,3.6, Healthcare,-,-, 10000+,-, 10001+," Novartis AG , Sanofi-aventis Pvt Ltd , Merck Ltd , Johnson & Johnson Ltd , GlaxoSmithKline Pharmaceuticals Ltd","Pfizer Inc. /ˈfaɪzər/ is an American multinational pharmaceutical corporation headquartered in New York City,  with its research headquarters in Groton, Connecticut. It is among the world's largest pharmaceutical companies.  Pfizer is listed on the New York Stock Exchange, and its shares have been a component of the Dow Jones Industrial Average since 2004. Pfizer develops and produces medicines and vaccines for a wide range of medical disciplines, including immunology, oncology, cardiology, diabetology/endocrinology, and neurology. Pfizer's products include the blockbuster drug Lipitor (atorvastatin), used to lower LDL blood cholesterol; Lyrica (pregabalin) for neuropathic pain/fibromyalgia; Diflucan (fluconazole), an oral antifungal medication; Zithromax (azithromycin), an antibiotic; Viagra (sildenafil) for erectile dysfunction; and Celebrex/Celebra (celecoxib), an anti-inflammatory drug.Pfizer was founded in 1849 by cousins Charles Pfizer and Charles F. Erhart in New York City as a manufacturer of fine chemicals. Its discovery of Terramycin (oxytetracycline) in 1950 put it on a path towards becoming a research-based pharmaceutical company. Pfizer has made numerous acquisitions, including Warner–Lambert in 2000, Pharmacia in 2003, and Wyeth in 2009 (the largest of the three at $68 billion).  "
338,Philips Electronics,3.9,http://jobbuzz.timesjobs.com/ndata_images/logos/001237.gif,N,Philips India Limited,http://www.philips.co.in/,3.8,4,3.8,3.8, Consumer Goods - Durables,1891, Frans van Houten, 5000 - 10000," Amsterdam, Netherlands", 10001+," MIRC Electronics Ltd , Sony India Pvt Ltd , LG Electronics India Pvt Ltd , Samsung Ltd , Panasonic Pvt Ltd","Koninklijke Philips N.V. (Royal Philips, commonly known as Philips) is a Dutch technology company headquartered in Amsterdam with primary divisions focused in the areas of electronics, healthcare and lighting. It was founded in Eindhoven in 1891 by Gerard Philips and his father Frederik. It is one of the largest electronics companies in the world and employs around 105,000 people across more than 60 countries. Philips is organized into three main divisions: Philips Consumer Lifestyle (formerly Philips Consumer Electronics and Philips Domestic Appliances and Personal Care), Philips Healthcare (formerly Philips Medical Systems) and Philips Lighting. As of 2012 Philips was the largest manufacturer of lighting in the world measured by applicable revenues.  In 2013, the company announced the sale of the bulk of its remaining consumer electronics operations to Japan's Funai Electric Co,  but in October 2013, the deal to Funai Electric Co was broken off and the consumer electronics operations remain under Philips. Philips said it would seek damages for breach of contract in the $200-million sale. Philips has a primary listing on the Euronext Amsterdam stock exchange and is a component of the Euro Stoxx 50 stock market index.  It has a secondary listing on the New York Stock Exchange."
339,Pitney bowes,3.2,http://jobbuzz.timesjobs.com/ndata_images/logos/004226.gif,N,Pitney Bowes India Pvt Ltd,http://www.pitneybowes.co.in,3.2,3.2,3.2,3.2, Consumer Goods - Other,-,-, 1 - 100,-, 51 - 200,-,"Pitney Bowes Inc. is an American provider of global eCommerce solutions, shipping and mailing products, location intelligence, customer engagement and customer information management solutions. Based in Stamford, Connecticut, the company has approximately 16,100 employees worldwide.  It is one of 87 existing firms that have been members of the S&P 500 since its creation in 1957.Other major U.S. centers of operation include Danbury, Connecticut; Shelton, Connecticut; Troy, New York; and Lanham, Maryland."
340,Pizza Hut,4,http://jobbuzz.timesjobs.com/ndata_images/logos/002274.gif,N,Pizza hut,http://www.pizzahut.co.in,3.8,3.9,4.2,4.1, Hospitality & Tourism,-,-, 500 - 1000,-, 5001 - 10000,-,"Pizza Hut is an American restaurant chain and international franchise, known for pizza and side dishes. It is now corporately known as Pizza Hut, Inc. and is a subsidiary of Yum! Brands, Inc., the world's largest restaurant company.  In 2015, the company had more than 6,000 Pizza Hut restaurants in the United States, and 5,139 store locations in 94 other countries and territories worldwide. Pizza Hut has a total of 11,139 branches worldwide. "
341,Pinnacle Infotech Solutions,3.3,http://jobbuzz.timesjobs.com/ndata_images/logos/001242.png,N,Pinnacle Infotech Solutions Pvt Ltd,http://www.pinnacle-infotech.com/,3.4,3.5,3.1,3.3," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 501 - 1000,-,0
342,Polaris Software Lab,3.1,http://jobbuzz.timesjobs.com/ndata_images/logos/000595.png,N,Polaris Software Lab Ltd,http://www.polarisft.com/,3.1,3,3,3.2," Technology (IT, Telecom, Dot Com Etc)",1993, Jitin Goyal, 1000 - 2500, Chennai, 5001 - 10000," Wipro Technologies Ltd , Infosys Technologies Ltd , HCL Technologies Ltd , Cognizant Technology Solutions , Tata Consultancy Services Ltd",0
343,PricewaterhouseCoopers,3.1,http://jobbuzz.timesjobs.com/ndata_images/logos/001261.gif,N,PricewaterhouseCoopers International Ltd,http://www.pwc.com/,3,3.2,3.1,3.2, Consultancy Services,-,-, 10000+,-, 10001+," KPMG India Pvt Ltd , Ernst & Young Pvt. Ltd. , Deloitte Touche Tohmatsu India Pvt Ltd","PricewaterhouseCoopers (trading as PwC) is a multinational professional services network. It is the largest professional services firm in the world, and is one of the Big Four auditors, along with Deloitte, EY and KPMG. Vault Accounting 50 has ranked PwC as the most prestigious accounting firm in the world for seven consecutive years, as well as the top firm to work for in North America for three consecutive years. PwC is a network of firms in 157 countries, 756 locations, with more than 208,100 people. It had total revenues of $35.4 billion in FY 2015, of which $15.2 billion was generated by its Assurance practice, $8.9 billion by its Tax practice and $11.3 billion by its Advisory practice. The firm was formed in 1998 by a merger between Coopers & Lybrand and Price Waterhouse.  The trading name was shortened to PwC in September 2010 as part of a rebranding. "
344,ProKarma,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/006808.gif,N,Prokarma Softech Pvt Ltd,http://www.prokarma.com,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 1001 - 5000,-,0
345,Qatar Airways,3.3,http://jobbuzz.timesjobs.com/ndata_images/logos/004870.gif,N,Qatar Airways Ltd,http://www.qatarairways.com/in,3.7,3,3.3,3.4, Travel Services,-,-, 2500 - 5000,-, 201 - 500,-,"Qatar Airways Company Q.C.S.C. (Arabic: القطرية, Al Qatariyah),  operating as Qatar Airways, is the state-owned flag carrier   of Qatar. Headquartered in the Qatar Airways Tower in Doha,  the airline operates a hub-and-spoke network, linking over 140 international destinations across Africa, Central Asia, Europe, Far East, South Asia, Middle East, North America, South America and Oceania from its base at Hamad International Airport, using a fleet of more than 150 aircraft.Qatar Airways Group employs more than 31,000 people, of which 19,000 work directly for Qatar Airways. The carrier has been a member of the Oneworld alliance since October 2013, the first Gulf carrier to sign with one of the three airline alliances."
346,Qburst Technologies,3.9,http://jobbuzz.timesjobs.com/ndata_images/logos/004643.png,N,Qburst Technologies Pvt Ltd,http://www.qburst.com,4.5,3.8,3.7,3.8," Technology (IT, Telecom, Dot Com Etc)",2004, Prathapan Sethu, 1 - 100," Trivandrum, Kerala", 201 - 500,-,0
347,Qualcomm,4.5,http://jobbuzz.timesjobs.com/ndata_images/logos/002015.gif,N,Qualcomm Inc,http://www.qualcomm.co.in,4.2,4.5,4.5,4.6," Technology (IT, Telecom, Dot Com Etc)",-,-, 10000+,-, 10001+,-,"Qualcomm Inc. is an American global semiconductor company that designs and markets wireless telecommunications products and services. The company headquarters are located in San Diego, California, United States. The company has 224 worldwide locations. The parent company is Qualcomm Incorporated (Qualcomm), which includes the Qualcomm Technology Licensing Division (QTL). Qualcomm's wholly owned subsidiary, Qualcomm Technologies, Inc. (QTI), operates substantially all of Qualcomm's R&D activities, as well as its product and services businesses, including its semiconductor business, Qualcomm CDMA Technologies. In November 2014, Qualcomm CEO Steve Mollenkopf announced at the company’s annual analyst day meeting held in New York City that the company is planning to target the data center market with new server chips based on the ARM architecture and plans to make them commercially available by the end of 2015."
348,Quest Inc,3.7,http://jobbuzz.timesjobs.com/ndata_images/logos/000773.gif,N,"Quest Software, Inc.",http://www.quest.com/,3.8,3.8,3.6,3.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 2500 - 5000,-, 1001 - 5000,-,0
349,Quintiles,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/003255.gif,N,Quintiles Research India Pvt Ltd,http://www.quintiles.com,3.8,3.4,4.1,4.1, Healthcare Services,1982, Tom Pike, 100 - 500, Bangalore, 1001 - 5000,-,"Quintiles Transnational, INC (NYSE: Q), is a Fortune 500 company and the world’s largest provider of biopharmaceutical development and commercial outsourcing services with a network of more than 35,000 employees conducting business in approximately 100 countries.Quintiles is the world’s largest contract research organization as ranked by reported service revenues,  and is focused primarily on Phase II-IV clinical trials and associated laboratory and analytical services. Quintiles' Integrated Healthcare Services supports diverse functions, including contract pharmaceutical sales in many geographic markets, as well as a growing number of healthcare business services, such as outcome-based and payer/provider services."
350,Quest Global,4.1,http://jobbuzz.timesjobs.com/ndata_images/logos/002068.gif,N,QuEST Global Engineering Pvt Ltd,http://www.quest-global.com,3.8,3.6,4.4,4.6," Technology (IT, Telecom, Dot Com Etc)",-,-, 1 - 100,-, 1001 - 5000,-,"QuEST Global, is an engineering consulting firm, founded in 1997. They began by offering various engineering services, primarily to Aerospace & Defence and Aeroengines industries. QuEST Global Services employs over 8200 workers across 9 countries with delivery centers in the US, Singapore, UK, Germany, Italy, Spain, France, Japan, and India.On 4 November 2014, QuEST acquired NeST Software, a Trivandrum-based premier engineering software services company servicing Fortune 500 clients in the US, Japan, Europe and India. "
351,Quikr,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/007059.jpg,N,Quikr India Pvt Ltd,http://www.quikr.com,2.8,2.8,2.5,2.5," Technology (IT, Telecom, Dot Com Etc)",2008, Mr. Pranay Chulet, 1 - 100, New Delhi, 201 - 500,-,"Quikr is an Indian cross category classifieds platform. Available on mobile phones and other devices, customers can use it to connect with each other to buy or sell goods and services. The platform was founded by Pranay Chulet  in 2008, and currently has 12 million listings that generate 20 million  responses every month. Headquartered in Bangalore, Quikr has a presence in 1000 cities in India and operates in over 10 categories that include mobile phones, household goods, cars, real estate, jobs, services and education. "
352,Quinnox,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/004008.gif,N,Quinnox Consultancy Services Ltd,http://www.quinnox.com,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",2002, Anil Kumar, 100 - 500, Mumbai, 1001 - 5000,-,0
353,Qwest,3.7,http://jobbuzz.timesjobs.com/ndata_images/logos/000773.gif,N,"Quest Software, Inc.",http://www.quest.com/,3.8,3.8,3.6,3.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 2500 - 5000,-, 1001 - 5000,-,"Qwest Communications International, Inc. was a large United States telecommunications carrier. Qwest provided local service in 14 western U.S. states: Arizona, Colorado, Idaho, Iowa, Minnesota, Montana, Nebraska, New Mexico, North Dakota, Oregon, South Dakota, Utah, Washington, and Wyoming.On April 22, 2010, CenturyLink announced it would acquire Qwest in a stock transaction.  The merger closed on April 1, 2011. Qwest began doing business as CenturyLink in August 2011. Qwest provided voice, Internet backbone data services, and digital television in some areas. It operated in three segments: Wireline Services, Wireless Services, and Other Services. The Wireline Services segment provided local voice, long distance voice, and data and Internet (DSL) services to consumers, businesses, and wholesale customers, as well as access services to wholesale customers. The Wireless Services segment was achieved by a partnership with Verizon Wireless. Qwest also partnered with DirecTV to provide digital television service to its customers. In Phoenix, Denver, Salt Lake City, Boise, and Omaha, Qwest offered Qwest Choice TV. The Other Services segment primarily involved the sublease of real estate assets, such as space in office buildings, warehouses, and other properties."
